Rep,Clf,MeanF1,StdF1
word2vec,RandomForestClassifier,0.930387992070235,0.026702516117691685
word2vec,LogisticRegression,0.9246672330784481,0.031563166284787905
word2vec,GradientBoostingClassifier,0.9194279241008214,0.03166806699341073
word2vec,KNeighborsClassifier,0.9073350325686773,0.02768916608103788
word2vec,SVC,0.9249787595581989,0.036544798589233526
doc2vec,RandomForestClassifier,0.870291702067403,0.020971008968563378
doc2vec,LogisticRegression,0.8541772868875672,0.028176267784504095
doc2vec,GradientBoostingClassifier,0.8595581988105353,0.024979080651249198
doc2vec,KNeighborsClassifier,0.8634664401019542,0.018422189450242887
doc2vec,SVC,0.8743981874822996,0.027496506451550665
